Eval num episodes,Eval avg final dist,Eval success ratio,Eval mean final l2 dist,Eval median final l2 dist,policy loss,timesteps,epoch time (s),total time (s)
50,402.49224853515625,0.0,402.49222,402.49225,0,0,7.529756307601929,7.52976131439209
50,9720.210405273438,0.0,9720.211,9919.86,2.1969470977199883,10000,81.08944821357727,88.61921691894531
50,696879.58125,0.0,696879.5,694280.25,1.667672182311704,20000,79.47940969467163,168.0986340045929
50,2934290.275,0.0,2934290.2,2931688.0,1.2988316236531665,30000,79.86929368972778,247.9679343700409
50,6735246.83,0.0,6735246.0,6732644.0,1.0592267820188543,40000,79.29822301864624,327.26616525650024
50,12100225.52,0.0,12100225.0,12097624.0,0.8666179391561682,50000,79.07837581634521,406.3445477485657
50,19029222.12,0.0,19029224.0,19026608.0,0.7352713032323291,60000,80.10020422935486,486.44475841522217
50,27522254.52,0.0,27522252.0,27519644.0,0.6472500467294633,70000,79.71851325035095,566.1632788181305
50,37578694.16,0.0,37578692.0,37576160.0,0.6211834312039513,80000,81.29361081123352,647.4568965435028
50,49193040.16,0.0,49193036.0,49190400.0,0.5365067804555684,90000,80.20371294021606,727.6606168746948
